,Unnamed: 0,textID,text,selected_text,sentiment,kfold
15,15,a717aca8f5,"An hour of walking in hot weather = a satisfied but hurting Nellie.  Ow, blisters.","a satisfied but hurting Nellie.  Ow, blisters.",neutral,0
16,16,d5e992bc46,that's two and a half hours completed now. chillaxing until half 2,that's two and a half hours completed now. chillaxing until half 2,neutral,0
17,17,aeebeda0dd, twist cld u follow me  ill love u forever,l love,positive,0
18,18,082b93228a,Last night in Australia,Last night in Australia,neutral,0
19,19,83a62e207f,i think i need a drink,i think i need a drink,neutral,0
20,20,d312ed7873,about to go to my boo's pad,about to go to my boo's pad,neutral,0
21,21,eb6f587edb,Can't I just be a stay at home mom already,Can't I just be a stay at home mom already,neutral,0
22,22,733afd2d19,if i ran the mile to mcdonalds and ran the mile back would that burn off a double sausage and egg mcmuffin lol,if i ran the mile to mcdonalds and ran the mile back would that burn off a double sausage and egg mcmuffin lol,neutral,0
23,23,ecf6c74e95,Brake time!! Nothing for lunch. Tonite.,Brake time!! Nothing for lunch. Tonite.,neutral,0
24,24,1548476690,Traffic jam outside of chicago. I feel very &quot;office space&quot; right now.,I feel very &quot;office space&quot; right now.,positive,0
25,25,44cf56f71d,watching 3rd JONAS ep.,watching 3rd JONAS ep.,neutral,0
26,26,56b20497b7,"Awake still O_o, breeding for perfect or close to perfect IVs on a pikachu  don't know what that means? Google it or wait for my articles","Awake still O_o, breeding for perfect or close to perfect IVs on a pikachu  don't know what that means? Google it or wait for my articles",neutral,0
27,27,b7d7339670,Fever of 103. Awesome. My tonsils are so swollen I can't even eat solid food. Still on location  the pictures rule though,Awesome. My tonsils are so swollen I can't even eat solid food. Still on location  the pictures rule though,neutral,0
28,28,caf8b13c31, thx for the suggestion - I don't think it'll be easy to convince her cold calling isn't aweful tho,thx for the suggestion - I don't think it'll be easy to convince her cold calling isn't aweful tho,neutral,0
29,29,5c59ecc527, at least you have a next year  into the big wide world for me!,at least you have a next year  into the big wide world for me!,neutral,0
30,30,20fb0dce38,My friends are awesome!   -- and the non Twitter ones here right now too!!,My friends are awesome!,positive,0
31,31,44a47726c8,Such a long day!!! So much fun though  tomorrow will be just as much.,So much fun,positive,0
32,32,b0212fbe33,"oh!, I wanna buy Just That Girl - Drew Seeley, but I'm not allowed  I'm talking itunes store)","oh!, I wanna buy Just That Girl - Drew Seeley, but I'm not allowed  I'm talking itunes store)",neutral,0
33,33,903a912442,"your saaaaafe with mee(8) **** epic times again last night  old friends and new friendships, good way to kick off this month!",good way to kick off this month!,positive,0
34,34,a52b69d7e1,Boreedd,Boreedd,negative,0
35,35,7ed78468fa, Momentum works!  But Jeff will have a hard time from 42nd.,But Jeff will have a hard time from 42nd,negative,0
36,36,dba745bfaf, hahaha i was like :O DOUGIE THATS HARSH!!! are you happy he replied?,hahaha i was like :O DOUGIE THATS HARSH!!! are you happy he replied?,neutral,0
37,37,c5bed42662,"I told andrew that JT is going to cameo @ MTV movie awards. He said, &quot;he's pissing me off.&quot; guess they're in a fight",he's pissing me off.&quot;,negative,0
38,38,37ea00e317,Morning People!  Just woke up now!,Morning,positive,0
39,39,535bd2fe9b,i had a new friend who called himself shame.,shame.,negative,0
40,40,50a10b84ff, that video was funny  i'm just signing up now and i'll vote for you!!  x,funny,positive,0
41,41,f2a177bbf8,"Im going to go to bed again, ear (both) infection, I am completely dizzy, yyyyuck! My stomach is hurting too  Peace-out loves",yyyyuck!,negative,0
42,42,f5dd093435, !!! It's fantastic!,fantastic!,positive,0
43,43,55e361033a,  It should take you back to colorado where you belong,It should take you back to colorado where you belong,neutral,0
44,44,ed152aee65,is now writing 100-word newsbites  http://plurk.com/p/wyb4h,is now writing 100-word newsbites  http://plurk.com/p/wyb4h,neutral,0
45,45,1b6a12519d,is soooo over school...maybe sick..all week *evil laugh*,evil laugh*,negative,0
46,46,00f02e92d6, Thank you - If you like please leave a comment and Subscribe!   Chicago another great musical.  Thanks for your support.,er grea,positive,0
47,47,b9a0286741, The photos are AMAZING! What a GREAT subject &amp; way to get people educated about Darfur! HUGS! U are an inspiring woman!,HUGS! U are an inspiring woman!,positive,0
48,48,0959262dda, It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,neutral,0
49,49,3d38947fea,listing to music while putting the finishing touches on my mothers day present and the cool part is it didn't cost my a thing,cool,positive,0
50,50,a9bd9a71f1,Missed the hello kitty  not enough time oh well,Missed the hello kitty,negative,0
51,51,a48347fc7c, Come hang out wif meeee,Come hang out wif meeee,neutral,0
52,52,d582b956fa, lol! l love your tweets! Keep them coming,love,positive,0
53,53,e227cd38f2, thanks sooo much lil sis! you should have gone with us to the bird park.,thanks sooo much lil sis!,positive,0
54,54,1f27adbaa5," , Just read an article that buying IP's doesn't necessary mean to get developement teams . Does that mean   ?",", Just read an article that buying IP's doesn't necessary mean to get developement teams . Does that mean",neutral,0
55,55,f5fb5b2236, I know   Guess I was hoping they'd revitalize the plot lines as well instead of reverting to old cliches!,as hopin,positive,0
56,56,42c51af9ad,yummy chocolate cake..wish even i got one for my b'day!!   anybody listening???,yummy chocolate cake..wish even i got one for my b'day!!,positive,0
57,57,d6dd76af3a,Seems like 60 min wait time  should I call the wife now,Seems like 60 min wait time  should I call the wife now,neutral,0
58,58,b2ca6221e6, Doing really well! I will stay here as long as is needed!  So you can definitely come and visit me!! Look forward too ...,Doing really well!,positive,0
59,59,4555ab6592,_Milano Good Morning Alyssa!! Hope u have a great wonderful day today   im happy cuz today is my last day of classes!! Yay!!,Hope,positive,0
60,60,a2788b970d,"Today I'm sad, my cat of 10 years has just stopped eating, and is very sick.","Today I'm sad,",negative,0
61,61,a9e196f603, http://twitpic.com/67uc7 - can you lend me one? I have a cold too,cold,negative,0
62,62,33309bac91,"Pizza parties went well, but still invisible  I might as well be out with a bag over my head. Whatever!","Pizza parties went well, but still invisible  I might as well be out with a bag over my head. Whatever!",neutral,0
63,63,54c1aaf23c,Working on your birthday isn't so bad when you get to work with Ruby on Rails,isn't so bad wh,positive,0
64,64,4dc164e720,i look like a horse in my sam's club card picture because i couldn't find my hair brush. hahaha possibly getting noah tomorrow,i look like a horse in my sam's club card picture because i couldn't find my hair brush. hahaha possibly getting noah tomorrow,neutral,0
65,65,0c22674eda,_rocks19  i have to break the twitterparty... im off home soon,i have to break the twitterparty... im off home soon,neutral,0
66,66,67d4698d92," hey! haha, yep! that was me! negative comments get me reallllyyy mad; so i always defend them!  haha!","hey! haha, yep! that was me! negative comments get me reallllyyy mad; so i always defend them!  haha!",neutral,0
67,67,2b603d3169,had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,had my last class with Scott and Julie today  going to miss them... they bought me a bottle of champagne as a congratulatory gift.,neutral,0
68,68,fe3cecc633, that story reminds of living in Portugal,that story reminds of living in Portugal,neutral,0
69,69,a8a388618c,Rain rain go away,go away,negative,0
70,70,e77ea2029b," lucky you, all we've had is rain in the city today  enjoy! ;)","lucky you,",positive,0
71,71,174fa353c1, morning Alex hope you will be tweeting lots today as we do miss you when you aren't on here  ****,miss,negative,0
72,72,458744ff40,I gots the sniffles,I gots the sniffles,neutral,0
73,73,6d5c066561,"_ackles New to Twitter. New to Supernatural - im only 1 day old :0) Jst ordered 1st season, after seein 1 gud random ep lastnte","_ackles New to Twitter. New to Supernatural - im only 1 day old :0) Jst ordered 1st season, after seein 1 gud random ep lastnte",neutral,0
74,74,c1f3197a61,Thanks to:      New followers!,Thanks,positive,0
75,75,71eeed35fe, hahahahah!! 04 would be the chief contributors. lol.,hahahahah!! 04 would be the chief contributors. lol.,neutral,0
76,76,cc9bbb431f," omgggggggggg, cant belive it! what had happened to it friend? do you know where did you missed it? thats not nice!!",not nice!,negative,0
77,77,692c77cc63, you really have to come to ireland some time! we love you over here &lt;3,love you,positive,0
78,78,520d2410fb,Craziier are off of msn!,Craziier are off of msn!,neutral,0
79,79,b70e61e2cb,"whole foods, barton springs, yogurt spot &amp; the oasis = perfect day in austin.",perfect,positive,0
80,80,69a24b165f,taking Willy to the specialist...poor dog! He has to get a CT scan cos he can't walk properly atm,poor dog! He,negative,0
81,81,45a66ee7dc,"The WHITE DICE are coming into the studio this eve 6-7pm, on 1386AM Radio City","The WHITE DICE are coming into the studio this eve 6-7pm, on 1386AM Radio City",neutral,0
82,82,e2fb9ce598,Last time in the drama room,Last time in the drama room,neutral,0
83,83,e8b373e460,"Woke up dreaming I met my Hero; Author Anne Rice &amp; her son, author Christopher Rice. I was in such euphoria. Perhaps I would someday.",I was in such euphoria.,positive,0
84,84,b0a274d394, very long by the sounds of things... But deadlines are Deadlines...,very long by the sounds of things... But deadlines are Deadlines...,neutral,0
85,85,c96da6c288," No, but Geek Minds Think Alike.","No, but Geek Minds Think Alike.",neutral,0
86,86,1dc2cee7c2," yeah i'm not shy doing everything that i can and still nothing  http://blackird72.etsy.com check out my sale, no bites yet","yeah i'm not shy doing everything that i can and still nothing  http://blackird72.etsy.com check out my sale, no bites yet",neutral,0
87,87,1dc99bcd26,Rainy day is rainy.,Rainy day is rainy.,neutral,0
88,88,54729446f6,"Methinks it's time to read A Doll's House + Streetcar and get some quotes, and then PHYSICS!","Methinks it's time to read A Doll's House + Streetcar and get some quotes, and then PHYSICS!",neutral,0
89,89,e136c0f2af, whens the sway sway winner announced?,whens the sway sway winner announced?,neutral,0
90,90,eedc5ecfd4,"So much happier, despite my looming departure","happier,",positive,0
91,91,6903cb08f2, Nice to see you tweeting!  It's Sunday 10th May and we're celebrating Mother's Day here today. So be nice to yer Mom,e nice,positive,0
92,92,10b9503e37, why are you surprised?,why are you surprised?,neutral,0
93,93,c30043dfc4,grumble..weather man.. don't know wtf they are talkin about.,grumble..,negative,0
94,94,71af97656b,is going to run a circle...also...ab zum Spooohort.,is going to run a circle...also...ab zum Spooohort.,neutral,0
95,95,c58402d703,**** I lost my Star Trek ring!    Starfleet Academy class ring w/ Golden Gate Bridge on it.  Got it as high school graduation present.,**** I lost my Star Trek ring!    Starfleet Academy class ring w/ Golden Gate Bridge on it.  Got it as high school graduation presen,neutral,0
96,96,3d10f395a2,10) I'm allergic to hot wax,allergic,negative,0
97,97,e8c53dadef,_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?,sorry,negative,0
98,98,47bb6390b3,  remember and drink plenty of fluids! and no buwieser dose not count!,remember and drink plenty of fluids! and no buwieser dose not count!,neutral,0
99,99,14d90ccad1,So treat your Mom's like Queen's cuz they are,So treat your Mom's like Queen's,positive,0
100,100,3062b1ad6a," lol, sounds fun",sounds fun,positive,0
101,101,5cdfcb4a91," http://twitpic.com/5rylt - ur so lucky! there, the stage its so close of theem! here not  i think we're dangerous (?","http://twitpic.com/5rylt - ur so lucky! there, the stage its so close of theem! here not  i think we're dangerous (?",neutral,0
102,102,64381fbdd4,Roommate is sssnoring :/ And my throat is so dry,Roommate is sssnoring :/ And my throat is so dry,negative,0
103,103,654de96a93,I wanna buy a million copies. But i aint that rich   just buy some more copies urself hahah,ut i aint that rich   just buy some more copies urself,negative,0
104,104,459b5c7a20,to doente,to doente,neutral,0
105,105,a1601594c3,http://twitpic.com/4wr8k - Ashley Tisdale - Love the shades girl,Love the shades girl,neutral,0
106,106,f8cc1d84d3,"sitting here with Nathan, Eddie &amp; Brenden chilling out at 1 AM, haha great day, I love my life!","haha great day, I love my life!",positive,0
107,107,7ee04efd76,left the inn  now im at school. dang its straight up dead here!! [&lt;3Hannah],dead,negative,0
108,108,942bee6f66, but but but. I want steak,but but but. I want steak,neutral,0
109,109,3a9bdb7666, hopefully I'll get to see HTB next week and LA really soon!! Can't wait!!!,hopefully,positive,0
110,110,a82705a699," Oh ok,Thanks.Dont know where the courthouse id either,I'll learn though.Any nkotb? Twitter stole my pic again  it hates me",t hates,negative,0
111,111,7afd74a542, my friday feels boring too. no time for fun today and not so much in the mood for it either,my friday feels boring too.,negative,0
112,112,f27be2e994,i'm about to munch on some more high calorie things!  they keep my brain working,i'm about to munch on some more high calorie things!  they keep my brain working,neutral,0
113,113,35fd1938b0,wow. someone's proud of me.,wow.,positive,0
114,114,93d5d0038c,"Watching NHL playoff Game1 tomorrow night if anyone is interested, and I know that none of you are.",know that none of you are.,negative,0
115,115,5d6e6661f6,i wish paramore would come to ireland,i wish paramore would come to ireland,neutral,0
116,116,652d472cfe,where are the good music and lyrics?! it seems like humans have lost their ability to understand whats good and whats bad.,whats good and whats bad.,neutral,0
117,117,f2c7ffe667,twitter is trippin right now with my pic,twitter is trippin right now with my pic,neutral,0
118,118,a30ac6968d, there's just no air,there's just no air,neutral,0
119,119,3456a32027, Exactly! Silent treatment is a great torture method,Silent treatment is a great torture method,negative,0
120,120,ff61f3369a,"After a week staying with my Grandmother, I'm home in Lopatcong. . Can start my new book tonight.   http://twitpic.com/4w1s0","After a week staying with my Grandmother, I'm home in Lopatcong. . Can start my new book tonight.   http://twitpic.com/4w1s0",neutral,0
121,121,1c245fd3dd,PeeWee is napping on the couch.  http://apps.facebook.com/dogbook/profile/view/5608012,PeeWee is napping on the couch.,neutral,0
122,122,5a004eecd1,watching a gossip girl,watching a gossip girl,neutral,0
123,123,cd0f1242dd,  I'm not a big fan of Costa  I ended up going to EAT as they have one outside our office!,I'm not a big fan of Costa,negative,0
124,124,c242a54ddc, you givein lady ga ga arun for her money in that get up hee hee love it,love,positive,0
125,125,b0794b5a7e,"Just found out I want be able to go see my daddy tomorrow before he leaves because Ty has an activity tomorrow morning, that sucks",sucks,negative,0
126,126,46b63cf74e," ?. Pick up that, as fast you can!","Pick up that, as fast you can!",neutral,0
127,127,a1ee6e27ae,#twpp ..still nw in trending topics..,still nw in trending topics..,neutral,0
128,128,4574ee1464, OMG that's right HAHAHA I'm Stupid,Stupid,negative,0
129,129,9925fc78b6,    Lmao Yes its on the 27th  I get so excited lol,Lmao Yes its on the 27th  I get so excited,positive,0
130,130,51c2d21362,Here's a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I'm scared of him,! I'm scared of him,negative,0
131,131,c0da2b190b, it's depressing,it's depressing,negative,0
132,132,55bb13c591,Omg. I got no sleep again. Neighbors are building a deck &amp; they've been starting @ 5:00am. I'm SO tired. Feel like I just took Benadryl,tired.,negative,0
133,133,ff196f91e9,I love that my boyfriends loves my mac n cheese. he even took some to work with him,love,positive,0
134,134,5da7eca093, So you wouldn't reply to my gorgeous hot pink shoe then?,gorgeous,positive,0
135,135,189c34484e," I hate doing em, but get dragged here by ... at least it's a beautiful day","I hate doing em, but get dragged here by ... at least it's a beautiful day",neutral,0
136,136,98daed54c8, OK. Happy to hear that you are feeling fine,OK. Happy to hear that you are feeling fine,positive,0
137,137,bb06dd1005,PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here)   ,PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here),neutral,0
138,138,65ad1cc705,"just woke up still in bed  sundays r the ****, its the do nothing day of the week","just woke up still in bed  sundays r the ****, its the do nothing day of the week",neutral,0
139,139,c1f815e17d, not all of them  You'll be missing mine and everybody else's on the east coast!!!!!,e missing,negative,0
140,140,a7ada0afe0," No, it's not","No, it's not",neutral,0
141,141,b2443b3da4,"Just put all the original art for my comics into an album.  Its really nice, except it shows how much I liked to cut corners to finish.","nice,",positive,0
142,142,962887779b,"rblpn   , You know, I could listen to every version of War Pigs ever recorded  ? http://blip.fm/~5z10d","rblpn   , You know, I could listen to every version of War Pigs ever recorded  ? http://blip.fm/~5z10",neutral,0
143,143,634cf7946f,"Thought I'd check out home, that was 10 minutes ago, downloading update, now home square....that's why I can't be bothered with it Sony",that's why I can't be bothered with it Sony,positive,0
144,144,a484c56162,"why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I get scared to try.","why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I get scared to try.",neutral,0
145,145,703fd4408a,"Aw ****! My iPod has a thin, gray line across the screen! Didn't drop it - I take good care of it. How long before it dies?",****!,negative,0
146,146,80d01af3a9, ha... I thought you would enjoy the Family Guy reference... and I'm more bored than you,bored,negative,0
147,147,894137c186, I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,I have to spend lots of  our money on a new boiler...great!!! Not so lucky hey,neutral,0
148,148,64452bd15d,I got dropped froma coupla ppl that were following me  **** Detroit Fans!!!,**** Detroit Fans!!!,negative,0
149,149,a213754ad1,_cali Good morning,Good morning,positive,0
150,150,c7d93aef38, http://twitpic.com/4jdtj - have a safe journey back home hope you come back soon,have a safe journey,positive,0
151,151,ad6dc61c8d, &quot;Restoration of the site would also take place as part of the Banks proposals&quot; - after the birds have gone? Avocets there this yr,&quot;Restoration of the site would also take place as part of the Banks proposals&quot; - after the birds have gone? Avocets there this yr,neutral,0
152,152,a4189bd0ff," Oh, awesome, I have Yahooo!  Good night, sleep tight, don't let the bed bugs bite!","awesome,",positive,0
153,153,1d01800a1a,just bought a magazine,just bought a magazine,neutral,0
154,154,dfd17c5926,Whooops... wrong smiley... it's supposed to be  LOL,wrong,negative,0
155,155,155e6b9b1a,I'm sooo hyper! And I don't even know why! Hahahahaha!,I'm sooo hyper! And I don't even know why! Hahahahaha!,neutral,0
156,156,c20d12b772,"Really tired, and need to be up in the morning... Off to bed. Good Night All!!!","Really tired, and need to be up in the morning... Off to bed. Good Night All!!!",neutral,0
157,157,c2ff27ef17,is at the farm doing what i do best...RIDING MY **** OFF!!!...get at me,is at the farm doing what i do best...RIDING MY **** OFF!!!...get at me,neutral,0
158,158,05ed6c49d8, sorry to hear about your dog,sorry,negative,0
159,159,50ea3c07b4, i didnt get the msg!! :'( but i bought princess,i didnt get the msg!! :'( but i bought princess,negative,0
160,160,777e9e8289,says I LOVE YOU MOM  http://plurk.com/p/svm0w,LOVE,positive,0
161,161,2836821bce,eating chicken noodle soup...... its one of those days,eating chicken noodle soup...... its one of those days,neutral,0
162,162,9c40dc8d20,any other Mac users completely given up on Google Chrome?,any other Mac users completely given up on Google Chrome?,neutral,0
163,163,667e8ed52f,Wishing  a Happy Mothers Day,Happy,positive,0
164,164,d74d2755db," please dont change anything in your site. I love it.. will always love it even if.. so, please? pretty please?",love,positive,0
165,165,211c095c7b,"Bringing my kitty to the vet tomorrow, I think she's got a tapeworm.","Bringing my kitty to the vet tomorrow, I think she's got a tapeworm.",neutral,0
166,166,96f87c22f4,_berra happy birthday!,happy birthday!,positive,0
167,167,2e0ad38b76,Really really cant sleep  x,Really really cant sleep  x,neutral,0
168,168,b72d063ad6,Good morning,Good morning,positive,0
169,169,bdf1649a54,CRYING CUZ PEOPLE WONT FOLLOW ME!!!!!!!,CRYING,negative,0
170,170,dae1f9f100, im 16 too,im 16 too,neutral,0
171,171,7543a8a7ca,watching Justin Timberlake on SNL,watching Justin Timberlake on SNL,neutral,0
172,172,cc6aa5d2b3, Not here in Stamford.,Not here in Stamford.,neutral,0
173,173,c5f92f60d2,I'm Back and I see I missed Truck and Fish on ,missed,negative,0
174,174,6cfbaeab29,happy mothers day to all moms out there!!,happy mothers day to,positive,0
175,175,8e904275d3, hope you have a good flight,hope,positive,0
176,176,8d65fe402f, Hooray! Your avatar is back! Wil go and put it in the Gardeners zone now,Hooray! Your avatar is back! Wil go and put it in the Gardeners zone now,neutral,0
177,177,5502e089a6, ... and that includes the chota-chota stuff released by Reflexie Arcade too!,and that includes the chota-chota stuff released by Reflexie Arcade too!,neutral,0
178,178,19227404ae, Morrissey cancelled on me,cancelled on me,negative,0
179,179,02143c83b4,Movie night with kate,Movie night with kate,neutral,0
180,180,c5311db5ad, is making me hot chocolate with almond milk.  Mother Day festivities is starting early!,is making me hot chocolate with almond milk.  Mother Day festivities is starting earl,neutral,0
181,181,8893a30da7, got it i'll send you an email in a lil bit i have a lot to say,got it i'll send you an email in a lil bit i have a lot to say,neutral,0
182,182,573e4fe22d,At the dentist. I have a hole in my tooth,I have a hole in my tooth,negative,0
183,183,95dc9926b8,   Oh Duh....I see that now .....thank you....,...than,positive,0
184,184,454507235e,I cant watch anythgin till tonight,I cant watch anythgin till tonight,neutral,0
185,185,72b1bac82c,Get into me not going. lol at least I didnt get my hopes up,didnt get my hopes up,negative,0
186,186,a1cc1835fe,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic","sadly, based on what I saw today, it's quite problematic",negative,0
187,187,7e1f3e69b6, Hope the train remembers the way - they can go a bit loopy on bank holidays,they can go a bit loopy,negative,0
188,188,504b3f4d66, it's just one day... do a week of 60hrs to compensate,it's just one day... do a week of 60hrs to compensate,neutral,0
189,189,e39f4ce69a," Hi! We get to try out new restos..so yea, it fuunn  Let's have dinner when you get back!",it fuunn,positive,0
190,190,2295b8227e,is highly amused I wasn't treated nicely like any other patient..not my fault my life is better than yours.,highly amused,positive,0
191,191,090d6cee04, I didn't see this until after,I didn't see this until after,neutral,0
192,192,36e7fc7af1, They better not be out when I get there.  I NEED MY FIX!,They better not be out,negative,0
193,193,b28d94ad46, my gut feel says its gonna be a boy ababa,my gut feel says its gonna be a boy ababa,neutral,0
194,194,75461b480a,stocked for tonight,stocked for tonight,neutral,0
195,195,206ffae0ad, If you mean backround then.. Settings&gt;design.. scroll to the bottem and click change backround image  &amp; there ya go.,If you mean backround then.. Settings&gt;design.. scroll to the bottem and click change backround image  &amp; there ya go.,neutral,0
196,196,19d4c27675,I would love to sleep with pete Lmfao   jk,I would love to sleep wi,positive,0
197,197,82215b50d4,Can't sleep...so I'm watching HGTV. I'm afraid infomercials are about to take over,Can't sleep..,negative,0
198,198,a9069500b5, Ur welcome,Ur welcome,positive,0
199,199,c3895e34db, It is a sad commentary is it not?,sad,negative,0
200,200,45e6e6e9a9,"Heeey, we won ice hockey....we are winners!!",we are winners!!,positive,0
201,201,ef5b30a027," awh, thats not good,   get better soon!","thats not good,",negative,0
202,202,f6c8408921,gaahhhh! i want my #comet09 stream back...,gaahhhh!,negative,0
203,203,23304e66c0,Gremlin is asleep after a particularly challenging bedtime. I think it's safe 4 me to go to bed -what a crazy Sat night for me!,Gremlin is asleep after a particularly challenging bedtime. I think it's safe 4 me to go to bed -what a crazy Sat night for me!,neutral,0
204,204,0a4d1e97e8, of course LOL about to eat more,of course LOL about to eat more,neutral,0
205,205,c0dfcf858d, The Northern Clemency.  But I don't recommend it.  Too much description and not enough action. Too slow,on. Too slo,negative,0
206,206,87383f22ae,Working  god I hate it haha,Working  god I hate it haha,neutral,0
207,207,8d1ab2e696,goodnight world.... goodnight eddplant.,goodnight world.... goodnight eddplant.,neutral,0
208,208,d9952724c1, yeeeeeessss I can't wait! Too bad I can't drink,Too bad,negative,0
209,209,5b34fdd255,Happy Mother's Day! Justin Timberlake's version a mother's day gift.. http://bit.ly/6fGxd  -- too funny!!!,Happy Mother's Day!,positive,0
210,210,3bcc340f8a, ooo thanks for the danger radio link  loves it...how did the test go?,ooo thanks for the danger radio link  loves it..,positive,0
211,211,38300df4eb,Celebrating mother's day with apple pie,Celebrating mother's day with apple pie,positive,0
212,212,0beb972c15,Just remembered I still have a summer project to do.  IT NEVER ENDS!!!!!,IT NEVER ENDS!!!!!,negative,0
213,213,995b31503c, My Photoshop won't let me save anything  Due to a disk error. The blend took me 1.5 hours!,won't let me save anything,negative,0
214,214,3e86e8f21e,_RachineA oh so you said you good-byes and hugs  my dad left around 4 in the morning so I woke up to an empty house i'm pretty scared.,i'm pretty scared.,negative,0
215,215,55f011fcb2,Missing brandon. Wanting to talk to anthony. Sadshoes,Missing,negative,0
216,216,867e2ed06d,is up early to send someone off at the airport!  http://plurk.com/p/x2wsw,is up early to send someone off at the airport!  http://plurk.com/p/x2wsw,neutral,0
217,217,f7206aab57,has a tummy ache,has a tummy ache,negative,0
218,218,14376c40dc,Just found out that one of my coworkers in St. Paul (who I actually know and talk to) got laid off. This blows.,blows.,negative,0
219,219,36ead74ef4," Yep, exactly   And I'm really sad about this tour...I know I'm gonna cry at my last M&amp;G....","Yep, exactly   And I'm really sad about this tour...I know I'm gonna cry at my last M&amp;G...",negative,0
220,220,3f96c39a12,http://www.bodybuilding.com/fun/richardchan.htm OMFG this dude looks well 'ard! He puts me to shame...,this dude looks well 'ard! He puts me to shame...,negative,0
221,221,a4354ab330,http://twitpic.com/4wdui - She's so festive aint' she hehe,She's so festive aint' she hehe,positive,0
222,222,9b5abafa71,i think 90% of the irish population of manchester have come to my house today yet none of them are the 1 person i want to see,i think 90% of the irish population of manchester have come to my house today yet none of them are the 1 person i want to see,neutral,0
223,223,8f1c816b64, blues for me please,blues for me please,neutral,0
224,224,69bc8772e2," yes the new one, I adore both though  who doesn't love Vincent!!!",I adore both though  who doesn't love Vincent!!!,neutral,0
225,225,72b9f8f048, SICK! I'm totally getting GH5!! Too bad you guys didn't get to play in Boston,Too bad you guys didn't get to play in Boston,negative,0
226,226,7fc99dd05a,White House?  This thing's a lifesaver: http://snipurl.com/hkuj9,lifesaver:,positive,0
227,227,687ee0bd2d,Wide awake and grouchy as ****.,grouchy,negative,0
228,228,b2ac8c9fcc,HAPPY MOTHER DAY JANEY! EVEN THOUGH IDK IF YOUR A MOMMY!,HAPPY,positive,0
229,229,2e9022164c,  thanks bebeisis that is right is your name by any chanve elisabeth???,thanks,positive,0
230,230,906a96d74e," i guess that means you didn't beta-read either of my stories, huh?","i guess that means you didn't beta-read either of my stories, huh?",neutral,0
231,231,9376ee9179, im good! im on my laptop using and external internet plug. i need to send it away to be fixed,im good!,positive,0
232,232,be285863ca, yes LOL that's good one .remeber that bottoms are always the top .,good,positive,0
233,233,37f6d9dc72,The cats are gone. All 3 of them.,cats are gone.,negative,0
